index,Title,Language,Release,Audience Rating,Runtime,Genre,Votes,Director,Actors
789,Baalu Belagithu,Kannada,-1994,,112 min,Drama            ,607,Adoor Gopalakrishnan,"['Mammootty', 'M.R. Gopakumar', 'Tanvi Azmi', 'Sabitha Anand']"
790,Gandhada Gudi,Kannada,-1975,,141 min,Drama            ,47,B.V. Karanth,"['M.V. Vasudeva Rao', 'Padma Kumta', 'Jayarajan', 'Sunder Rajan']"
791,Bhakta Kanakadasa,Kannada,-2018,Not Rated,156 min,"Action, Drama            ","28,369",Prashanth Neel,"['Yash', 'Srinidhi Shetty', 'Ramachandra Raju', 'Archana Jois']"
792,Guru Shishyaru,Kannada,-2017,Not Rated,138 min,Thriller            ,519,Suni,"['Manish Rishi', 'Shraddha Srinath', 'Rajesh Nataranga', 'Aruna Balaraj']"
793,Kapata Nataka Paatradhaari,Kannada,-2012,,,Drama            ,17,Aravind Kaushik,"['Rakshit Shetty', 'Meghana Gaonkar', 'Rishab Shetty', 'Bank Janardhan']"
794,Kaarmoda Saridu,Kannada,-2017,UA,178 min,"Drama, Romance            ",605,Tarun Sudhir,"['Prajwal Devaraj', 'Diganth', 'Prem Kumar', 'Vijay Raghavendra']"
795,Sahasa Simha,Kannada,-2016,U,114 min,"Drama, Thriller            ",516,D. Satya Prakash,"['Satyaprakash', 'Nataraj S. Bhat', 'Ninasam Bimbashri', 'Kadur Dharmanna']"
796,Kavirathna Kaalidaasa,Kannada,-2015,UA,123 min,Drama            ,"2,177",Raam Reddy,"['Thammegowda S.', 'Channegowda', 'Abhishek H.N.', 'Pooja S.M.']"
797,Upasane,Kannada,-2014,A,132 min,"Action, Drama, Thriller            ","4,804",Prashanth Neel,"['Sri Murali', 'Haripriya', 'Thilak Shekar', 'Atul Kulkarni']"
798,Tabarana Kathe,Kannada,-2013,UA,,"Action, Drama            ",90,Giriraj Bm,"['Kishore Kumar G.', 'Sukrutha Wagle', 'Pavana', 'Achyuth Kumar']"
799,Katha Sangama,Kannada,-2011,,,Drama            ,33,Girish Kasaravalli,"['Dr. Shikaripura', 'Krishnamurthy', 'Jayanthi', 'Apoorva Kasaravalli']"
800,Seetharama Kalyana,Kannada,-2013,U,92 min,Drama            ,62,P. Sheshadri,"['H.G. Dattatreya', 'Sudharani', 'Chi Gurudatth', 'V. Manohar']"
801,Anukta,Kannada,-2005,U,104 min,Drama            ,16,P. Sheshadri,"['Lakshmi Chandrashekar', 'H.G. Dattatreya', 'Neethu', 'Suchendra Prasad']"
802,Tagaru,Kannada,-2010,U,104 min,Drama            ,51,Girish Kasaravalli,"['Vaijanath Biradar', 'Umashree', 'Sadashiv Brahmavar', 'Shivanandan']"
