index,Title,Language,Release,Audience Rating,Runtime,Genre,Votes,Director,Actors
36,Chithram,Malayalam,-1988,U,159 min,"Comedy, Drama, Musical            ","3,953",Priyadarshan,"['Mohanlal', 'Ranjini', 'Nedumudi Venu', 'Renjini']"
37,The Gambinos,Malayalam,-2019,UA,122 min,"Crime, Drama            ",573,Girish Panicker Mattada,"['Vishnu Vinay', 'Radhika Sarathkumar', 'Sampath Raj', 'Sijoy Varghese']"
38,Ramji Rao Speaking,Malayalam,-1989,Not Rated,150 min,"Comedy, Thriller            ","2,460",Lal,"['Siddique', 'Saikumar', 'Mukesh', 'Innocent']"
39,Guru,Malayalam,-1997,U,136 min,"Drama, Fantasy            ","2,347",Rajiv Anchal,"['Mohanlal', 'Suresh Gopi', 'Madhupal', 'Kaveri']"
40,Android Kunjappan Ver 5.25,Malayalam,-2019,U,140 min,"Comedy, Drama            ","2,167",Ratheesh Balakrishnan Poduval,"['Soubin Shahir', 'Suraj Venjaramoodu', 'Kendy Zirdo', 'Saiju Kurup']"
41,Pathemari,Malayalam,-2015,U,118 min,Drama            ,"3,488",Salim Ahmed,"['Mammootty', 'Sreenivasan', 'Jewel Mary', 'Joy Mathew']"
42,Drishyam,Malayalam,-2013,Not Rated,160 min,"Crime, Drama, Thriller            ","28,333",Jeethu Joseph,"['Mohanlal', 'Meena', 'Asha Sharath', 'Ansiba']"
43,The Campus,Malayalam,-2005,U,,"Crime, Drama, Romance            ",183,Mohan,"['Madhu Warrier', 'Eva Pavithran', 'Kalasala Babu', 'Nandu']"
44,Anjaam Pathiraa,Malayalam,-2020,Unrated,144 min,"Crime, Mystery, Thriller            ","1,122",Midhun Manuel Thomas,"['Kunchacko Boban', 'Jinu Joseph', 'Unnimaya Prasad', 'Sreenath Bhasi']"
45,Yoddha,Malayalam,-1992,U,149 min,"Action, Comedy            ","3,254",Sangeeth Sivan,"['Mohanlal', 'Siddharth Lama', 'Madhoo', 'Jagathi Sreekumar']"
46,Vatsalyam,Malayalam,-1993,Not Rated,156 min,Drama            ,"2,059",Cochin Hanifa,"['Ilavarasi', 'Mammootty', 'Geetha', 'Siddique']"
47,Kala Pani,Malayalam,-1996,UA,178 min,"Action, Drama, History            ","3,340",Priyadarshan,"['Mohanlal', 'Amrish Puri', 'Prabhu', 'Tabu']"
48,Namukku Parkkan Munthiri Thoppukal,Malayalam,-1986,U,137 min,Romance            ,"1,837",P. Padmarajan,"['Mohanlal', 'Shari', 'Thilakan', 'Vineeth']"
49,Bharatham,Malayalam,-1991,,147 min,"Musical, Drama            ","2,071",Sibi Malayil,"['Mohanlal', 'Urvashi', 'Nedumudi Venu', 'Kaviyoor Ponnamma']"
50,Amaram,Malayalam,-1991,U,150 min,Drama            ,"2,151",Bharathan,"['Mammootty', 'Mathu', 'Chitra', 'Murali']"
51,Aickarakkonathe Bhishaguaranmaar,Malayalam,-2018,U,144 min,Drama            ,225,Biju Majeed,"['Vipin Mangalashery', 'Samarth Ambujakshan', 'Shivaji Guruvayoor', 'Lalu Alex']"
52,R.I.P.,Malayalam,-2018,U,120 min,"Comedy, Drama            ","1,623",Lijo Jose Pellissery,"['Chemban Vinod Jose', 'Vinayakan', 'Dileesh Pothan', 'Kainakary Thankaraj']"
53,Take Off,Malayalam,-2017,U,139 min,"Action, Drama, Thriller            ","3,856",Mahesh Narayan,"['Parvathy Thiruvothu', 'Fahadh Faasil', 'Kunchacko Boban', 'Prakash Belawadi']"
54,Maheshinte Prathikaram,Malayalam,-2016,U,120 min,"Comedy, Drama, Thriller            ","5,266",Dileesh Pothan,"['Fahadh Faasil', 'Aparna Balamurali', 'Soubin Shahir', 'Alencier Ley Lopez']"
55,Premam,Malayalam,-2015,U,156 min,"Comedy, Drama, Romance            ","14,848",Alphonse Puthren,"['Nivin Pauly', 'Sai Pallavi', 'Madonna Sebastian', 'S.V. Krishna Shankar']"
56,Yatra,Malayalam,-2018,Not Rated,127 min,"Biography, Drama, Romance            ","3,112",Mahi v Raghav,"['Mammootty', 'Joy Badlani', 'Nassar', 'Suhasini']"
57,Bangalore Days,Malayalam,-2014,U,171 min,"Comedy, Drama, Romance            ","14,020",Anjali Menon,"['Nazriya Nazim', 'Nivin Pauly', 'Dulquer Salmaan', 'Fahadh Faasil']"
58,Ustad Hotel,Malayalam,-2012,,151 min,"Comedy, Drama, Family            ","10,039",Anwar Rasheed,"['Dulquer Salmaan', 'Thilakan', 'Siddique', 'Nithya Menon']"
59,Pranchiyettan and the Saint,Malayalam,-2010,U,140 min,"Comedy, Drama            ","4,360",Renjith,"['Tini Tom', 'Jayaraj Warrier', 'Jesse Fox Allen', 'Mammootty']"
60,Gauthamante Radham,Malayalam,-2020,U,128 min,Comedy            ,20,Basil Joseph,"['Anand Menon', 'Neeraj Madhav', 'Devi Ajith', 'Renji Panicker']"
61,Vattamesha Sammelanam,Malayalam,-2019,UA,136 min,Comedy            ,11,Vipin Atley,"['Vipin Atley', 'Dominic Dom', 'Gokulan', 'Jude Anthany Joseph']"
62,Veyilmarangal,Malayalam,-2019,U,108 min,Drama            ,6,Bijukumar Damodaran,"['Govardhan B.K', 'Prakash Bare', 'Indrans', 'Saritha']"
63,Thanmathra,Malayalam,-2005,U,160 min,Drama            ,"3,370",Blessy,"['Mohanlal', 'Meera Vasudevan', 'Arjun Lal', 'Nedumudi Venu']"
64,Vadakkunokkiyantram,Malayalam,-1989,Unrated,120 min,"Comedy, Drama            ","1,674",Sreenivasan,"['Sreenivasan', 'Parvathi', 'Innocent', 'K.P.A.C. Lalitha']"
65,Vishnu Vijayam,Malayalam,-1974,A,,Drama            ,13,N. Sankaran Nair,"['Kamal Haasan', 'Sheela', 'Alummoodan', 'Paravoor Bharathan']"
66,Sadayam,Malayalam,-1992,UA,147 min,"Drama, Thriller            ",512,Sibi Malayil,"['Mohanlal', 'Janardanan', 'Kaveri', 'Mahesh']"
67,Dasharatham,Malayalam,-1989,,154 min,"Comedy, Drama            ","1,591",Sibi Malayil,"['Mohanlal', 'Rekha', 'Murali', 'Karamana Janardanan Nair']"
68,Ente Katha,Malayalam,-1983,,,Drama            ,6,P.K. Joseph,"['Prem Nazir', 'Mohanlal', 'Mammootty', 'Adoor Bhasi']"
69,Sita Swayamvar,Malayalam,-1976,,,"Adventure, Drama, Fantasy            ",26,Bapu,"['Ravi Kumar', 'Jaya Prada', 'Satyanarayana Kaikala', 'Gummadi']"
70,Appooppan,Malayalam,-1976,U,,Drama            ,6,P. Bhaskaran,"['Kamal Haasan', 'Adoor Bhasi', 'Jayabharati', 'Karan']"
71,Vidheyan,Malayalam,-1994,,112 min,Drama            ,607,Adoor Gopalakrishnan,"['Mammootty', 'M.R. Gopakumar', 'Tanvi Azmi', 'Sabitha Anand']"
72,Mathilukal,Malayalam,-1990,,120 min,"Drama, Romance            ",722,Adoor Gopalakrishnan,"['Mammootty', 'Thilakan', 'Karamana Janardanan Nair', 'Murali']"
73,Joseph,Malayalam,(II) (2018),UA,138 min,"Drama, Thriller            ","2,137",M. Padmakumar,"['Joju George', 'Athmeeya Rajan', 'Dileesh Pothan', 'James Eliya']"
74,K.G.F: Chapter 1,Malayalam,-2018,Not Rated,156 min,"Action, Drama            ","28,369",Prashanth Neel,"['Yash', 'Srinidhi Shetty', 'Ramachandra Raju', 'Archana Jois']"
75,Zayana,Malayalam,-2019,,90 min,Drama            ,382,Khalid Abdulrahim Al-Zadjali,"['Noura Al-Farsi', 'Ali Al-Amri', 'M.R. Gopakumar', 'Zarin']"
76,Sudani from Nigeria,Malayalam,-2018,U,123 min,"Comedy, Sport            ","2,487",Zakariya Mohammed,"['Soubin Shahir', 'Samuel Abiola Robinson', 'Savithri Sreedharan', 'Sarasa Balussery']"
77,Parava,Malayalam,-2017,UA,147 min,"Action, Comedy, Drama            ","2,719",Soubin Shahir,"['Amal Shah', 'Govind V. Pai', 'Dulquer Salmaan', 'Shane Nigam']"
78,Thondi Muthalum Driksakshiyum,Malayalam,-2017,U,135 min,"Crime, Drama, Thriller            ","3,325",Dileesh Pothan,"['Fahadh Faasil', 'Suraj Venjaramoodu', 'Nimisha Sajayan', 'Alencier Ley Lopez']"
79,Baahubali 2: The Conclusion,Malayalam,-2017,Not Rated,167 min,"Action, Drama            ","69,326",S.S. Rajamouli,"['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia']"
80,Ottaal,Malayalam,-2014,,81 min,Drama            ,439,Jayaraaj,"['Shine Tom Chacko', 'Sabitha Jayaraaj', 'Ashanth K. Shah', 'Kumarakom Vasudevan']"
81,0-41*,Malayalam,-2016,U,,"Comedy, Drama            ",13,Senna Hegde,"['Ebi Ganesh', 'Rishidas Ganesh', 'Abhilash Gopal', 'Roopesh Kadathanadan']"
82,Kaazhcha,Malayalam,-2004,Not Rated,137 min,Drama            ,"2,345",Blessy,"['Mammootty', 'Yash Gawli', 'Padmapriya', 'Sanusha']"
83,Oru CBI Diary Kurippu,Malayalam,-1988,,137 min,"Mystery, Thriller            ","2,290",K. Madhu,"['Mammootty', 'Suresh Gopi', 'Jagathi Sreekumar', 'Janardanan']"
84,Dhruvam,Malayalam,-1993,U,138 min,"Action, Drama, Thriller            ","1,180",Joshiy,"['Jayaram', 'Suresh Gopi', 'Mammootty', 'Janardanan']"
85,Lakshmana Rekha,Malayalam,-1984,,113 min,Drama            ,22,I.V. Sasi,"['Mohanlal', 'Mammootty', 'Seema', 'K.P. Ummer']"
86,Moonnam Pakkam,Malayalam,-1988,Not Rated,114 min,Drama            ,910,P. Padmarajan,"['Jagathi N.K. Achari', 'Ajayan', 'Asokan', 'Jayabharati']"
87,Vanaprastham,Malayalam,-1999,U,119 min,Drama            ,"1,486",Shaji N. Karun,"['Mohanlal', 'Suhasini', 'Asokan', 'Binu']"
88,Pranamam,Malayalam,-1986,,,Drama            ,49,Bharathan,"['Suhasini', 'Asokan', 'Vineeth', 'Babu Antony']"
89,Gitanjali,Malayalam,-1989,UA,150 min,"Drama, Romance            ","2,082",Mani Ratnam,"['Nagarjuna Akkineni', 'Girija Shettar', 'Vijayakumar', 'Radhabai']"
90,Uyare,Malayalam,-2019,U,125 min,Drama            ,"1,677",Manu Ashokan,"['Parvathy Thiruvothu', 'Tovino Thomas', 'Asif Ali', 'Siddique']"
91,Virus,Malayalam,(I) (2019),Not Rated,152 min,"Drama, Thriller            ","2,353",Aashiq Abu,"['Parvathy Thiruvothu', 'Tovino Thomas', 'Asif Ali', 'Soubin Shahir']"
92,Unda,Malayalam,-2019,Not Rated,130 min,"Action, Comedy, Thriller            ","2,516",Khalid Rahman,"['Mammootty', 'Asif Ali', 'Abhiram Pothuval', 'Dileesh Pothan']"
93,Guppy,Malayalam,-2016,U,158 min,"Comedy, Drama, Family            ","1,563",Johnpaul George,"['Chethan Jayalal', 'Tovino Thomas', 'Sreenivasan', 'Rohini']"
94,Kammatti Paadam,Malayalam,-2016,Not Rated,177 min,"Action, Drama            ","3,174",Rajeev Ravi,"['Dulquer Salmaan', 'Vinayakan', 'Shaun Romy', 'Anil Nedumangad']"
95,Perariyathavar,Malayalam,-2014,U,110 min,Drama            ,54,Bijukumar Damodaran,"['Suraj Venjaramoodu', 'Govardhan B.K', 'Indrans', 'Nedumudi Venu']"
96,Left Right Left,Malayalam,-2013,,155 min,"Crime, Drama            ","2,141",Arun Kumar,"['Murali Gopy', 'Indrajith Sukumaran', 'Hareesh Peradi', 'Lena']"
97,Baahubali,Malayalam,-2015,Not Rated,159 min,"Action, Drama            ","96,771",S.S. Rajamouli,"['Prabhas', 'Rana Daggubati', 'Ramya Krishnan', 'Sathyaraj']"
98,Traffic,Malayalam,-2011,U,122 min,"Action, Adventure, Mystery            ","3,798",Rajesh Pillai,"['Sreenivasan', 'Kunchacko Boban', 'Sudip Joshy', 'Rahman']"
99,Manjadikuru,Malayalam,-2008,U,120 min,"Drama, Family            ",857,Anjali Menon,"['Prithviraj Sukumaran', 'Thilakan', 'Jagathi Sreekumar', 'Rahman']"
100,Safe,Malayalam,(V) (2019),U,144 min,"Action, Crime, Thriller            ",957,Pradeep Kalipurayath,"['Siju Wilson', 'Anusree', 'Prasanth', 'Aparna Gopinath']"
101,Thanneermathan Dinangal,Malayalam,-2019,U,136 min,"Comedy, Romance            ","1,520",Girish A.D.,"['Vineeth Sreenivasan', 'Mathew Thomas', 'Anaswara Rajan', 'Nalsen K. Gafoor']"
102,Shibu,Malayalam,-2019,U,145 min,Comedy            ,432,Arjun Prabhakaran,"['Karthik Ramakrishnan', 'Salim Kumar', 'Anju Kurian']"
103,Classmates,Malayalam,-2006,U,175 min,"Drama, Mystery, Romance            ","3,004",Lal Jose,"['Prithviraj Sukumaran', 'Indrajith Sukumaran', 'Kavya Madhavan', 'Narain']"
104,Varavelpu,Malayalam,-1989,Not Rated,144 min,"Comedy, Drama            ","1,558",Sathyan Anthikad,"['Mohanlal', 'Revathy', 'Murali', 'Sreenivasan']"
105,Pattanapravesam,Malayalam,-1988,,158 min,"Comedy, Thriller            ","2,094",Sathyan Anthikad,"['Mohanlal', 'Sreenivasan', 'Karamana Janardanan Nair', 'Ambika']"
106,Aa Rathri,Malayalam,-1983,Not Rated,137 min,Drama            ,72,Joshiy,"['Kothuku Nanappan', 'Philomina', 'M.G. Soman', 'Poornima Jayaram']"
107,Thenmavin Kombath,Malayalam,-1994,Not Rated,164 min,"Comedy, Drama, Musical            ","2,263",Priyadarshan,"['Mohanlal', 'Nedumudi Venu', 'Sreenivasan', 'Shobana']"
108,Swathi Kiranam,Malayalam,-1992,U,130 min,"Drama, Musical            ",314,K. Viswanath,"['Master Manjunath', 'Radhika Sarathkumar', 'Mammootty', 'Jayanthi']"
109,Ponthan Mada,Malayalam,-1994,,119 min,Drama            ,541,T.V. Chandran,"['Mammootty', 'Laboni Sarkar', 'Naseeruddin Shah']"
110,Kochu Themmadi,Malayalam,-1986,,,Drama            ,52,A. Vincent,"['Adoor Bhasi', 'Sunanda Biswas', 'Jalaja', 'Mammootty']"
111,Anubhavangal Palichakal,Malayalam,-1971,,133 min,Drama            ,36,K.S. Sethumadhavan,"['Bahadoor', 'T.K. Balachandran', 'Paravoor Bharathan', 'Adoor Bhasi']"
112,Odeyil Ninnu,Malayalam,-1965,,175 min,Drama            ,47,K.S. Sethumadhavan,"['Sathyan', 'Adoor Bhasi', 'Prem Nazir', 'Adoor Bhawani']"
113,Agni Sakshi,Malayalam,-1999,,100 min,Drama            ,54,Shyamaprasad,"['Rajit Kapoor', 'Madambu Kunhukuttan', 'Madhupal', 'Praveena']"
114,Kottayam,Malayalam,-2020,UA,100 min,"Crime, Drama, Romance            ",8,Binu Bhaskar,"['Sreenath Janardhanan', 'Chinnu Kuruvila', 'Ravi Mathew', 'Aneesh Menon']"
115,Sleeplessly Yours,Malayalam,-2017,U,,"Drama, Mystery            ",16,Sudeep Elamon,"['Goutham Soorya', 'Sudev Nair', 'Devaki Rajendran', 'Syamaprakash Ms.']"
116,Karutha Joothan,Malayalam,-2017,U,120 min,Drama            ,11,Salim Kumar,"['Salim Kumar', 'Ramesh Pisharody', 'Babu Annur', 'Shivaji Guruvayoor']"
117,The Elder One,Malayalam,-2019,Not Rated,125 min,"Action, Crime, Drama            ",384,Geethu Mohandas,"['Nivin Pauly', 'Shashank Arora', 'Sanjana Dipu', 'Sobhita Dhulipala']"
118,Angamaly Diaries,Malayalam,-2017,Not Rated,132 min,"Action, Comedy, Thriller            ","3,887",Lijo Jose Pellissery,"['Antony Varghese', 'Sarath Kumar', 'Tito Wilson', 'Reshma Rajan']"
119,Ennu Ninte Moideen,Malayalam,-2015,,166 min,"Biography, Drama, Romance            ","4,299",R.S. Vimal,"['Prithviraj Sukumaran', 'Parvathy Thiruvothu', 'Saikumar', 'Tovino Thomas']"
120,Airlift,Malayalam,-2016,Not Rated,130 min,"Drama, History            ","50,144",Raja Menon,"['Akshay Kumar', 'Nimrat Kaur', 'Kumud Mishra', 'Prakash Belawadi']"
121,Memories,Malayalam,(III) (2013),Not Rated,132 min,"Mystery, Thriller            ","5,014",Jeethu Joseph,"['Prithviraj Sukumaran', 'Sreejith Ravi', 'Vijayaraghavan', 'Suresh Krishna']"
122,Mumbai Police,Malayalam,-2013,,145 min,"Mystery, Thriller            ","4,787",Roshan Andrews,"['Prithviraj Sukumaran', 'Jayasurya', 'Rahman', 'Mukundan']"
123,Ayalum Njanum Thammil...,Malayalam,-2012,,160 min,"Drama, Family, Romance            ","2,370",Lal Jose,"['Prithviraj Sukumaran', 'Prathap Pothen', 'Narain', 'Samvrutha Sunil']"
124,Swami Ayyappan,Malayalam,-2012,,90 min,"Animation, Action, Adventure            ",27,Chetan Sharma,['Mahesh Vettiyar']
125,Adaminte Makan Abu,Malayalam,-2011,,101 min,Drama            ,"1,071",Salim Ahmed,"['Salim Kumar', 'M.R. Gopakumar', 'Jaffer Idukki', 'Sasi Kalinga']"
126,Kathaah at 8,Malayalam,-2019,,,Drama            ,7,Shilpa Krishnan Shukla,"['Rachita Arke', 'Arzu Arnool', 'Geeta Balagangadharan', 'Anindita Ghosh']"
127,Ayyappanum Koshiyum,Malayalam,-2020,U,177 min,"Action, Drama, Thriller            ",427,Sachy,"['Biju Menon', 'Prithviraj Sukumaran', 'Renjith', 'Anil Nedumangad']"
128,Chinthavishtayaya Shyamala,Malayalam,-1998,U,158 min,"Comedy, Drama            ","1,313",Sreenivasan,"['Sreenivasan', 'Sangeetha', 'Thilakan', 'Innocent']"
129,Aaram Thamburan,Malayalam,-1997,,163 min,"Action, Drama            ","2,741",Shaji Kailas,"['Mohanlal', 'Manju Warrier', 'Kuthiravattam Pappu', 'Narendra Prasad']"
130,Ponmuttayidunna Tharavu,Malayalam,-1988,Unrated,122 min,"Comedy, Drama            ",477,Sathyan Anthikad,"['Sreenivasan', 'Jayaram', 'Urvashi', 'Innocent']"
131,Mamangam,Malayalam,-1979,,,"Action, Drama, War            ",28,Navodaya Appachan,"['Prem Nazir', 'Jayan', 'M.N. Nambiar', 'K.R. Vijaya']"
132,Punjabi House,Malayalam,-1998,U,146 min,"Comedy, Drama, Romance            ","2,009",Meccartin,"['Raffi', 'Dileep', 'Mohini', 'Lal']"
133,Mrigaya,Malayalam,-1989,Not Rated,142 min,"Adventure, Drama            ",936,I.V. Sasi,"['Paravoor Bharathan', 'Mammootty', 'Sunita', 'Jagannatha Varma']"
134,Ponnum Poovum,Malayalam,-1982,,,Drama            ,5,A. Vincent,"['Sukumaran', 'Mammootty', 'Menaka', 'Nedumudi Venu']"
135,Ollavum Theeravum,Malayalam,-1969,,120 min,Drama            ,18,P.N. Menon,"['Alummoodan', 'Mala Aravindan', 'Nilambur Ayisha', 'Nilambur Balan']"
136,Yavanika,Malayalam,-1982,U,147 min,Mystery            ,536,K.G. George,"['Bharat Gopy', 'Jalaja', 'Venu Nagavalli', 'Thilakan']"
137,Poovinnu Puthiya Poonthennal,Malayalam,-1986,Not Rated,130 min,"Crime, Drama, Thriller            ",95,Fazil,"['Lalu Alex', 'Babu Antony', 'Suresh Gopi', 'Mammootty']"
138,Thazhvaram,Malayalam,-1990,Not Rated,130 min,"Crime, Drama, Musical            ",534,Bharathan,"['Mohanlal', 'Salim Ghouse', 'Sumalatha', 'Anju']"
139,Padmavyuhathile Abhimanyu,Malayalam,-2019,U,130 min,Drama            ,260,Vineesh Aaradya,"['Anoop Chandran', 'Indrans', 'Sona Nair', 'Simon Britto Rodrigues']"
140,Ilayaraja,Malayalam,-2019,U,141 min,Drama            ,281,Madhav Ramadasan,"['Ajaykumar', 'Harisree Asokan', 'Lakshmika Sajeevan', 'Gokul Suresh']"
141,Kunju Daivam,Malayalam,-2018,U,153 min,Drama            ,217,Jeo Baby,"['Adhish Praveen', 'Joju George', 'Soolapani', 'Sidhartha Siva']"
142,Chalakkudykkaran Changathy,Malayalam,-2018,U,161 min,"Biography, Drama            ",413,Vinayan,"['Honey Rose', 'Joju George', 'Salim Kumar', 'Vishnu Govindhan']"
143,Mayaanadhi,Malayalam,-2017,UA,136 min,"Drama, Romance            ","1,823",Aashiq Abu,"['Aishwarya Lekshmi', 'Tovino Thomas', 'Leona Lishoy', 'Ilavarasu']"
144,Minnaminungu,Malayalam,-2017,U,130 min,Drama            ,111,Anil Thomas,"['Krishnan Balakrishnan', 'Surabhi Lakshmi', 'Balu Narayanan', 'Prem Prakash']"
145,Charlie,Malayalam,(VII) (2015),U,130 min,"Drama, Musical, Thriller            ","6,022",Martin Prakkat,"['Dulquer Salmaan', 'Parvathy Thiruvothu', 'Aparna Gopinath', 'Nedumudi Venu']"
146,Munnariyippu,Malayalam,-2014,U,112 min,"Drama, Thriller            ","3,441",Venu Gopalan,"['Mammootty', 'Aparna Gopinath', 'Saiju Kurup', 'Joy Mathew']"
147,Happy Days,Malayalam,-2007,U,153 min,Drama            ,"4,216",Sekhar Kammula,"['Varun Sandesh', 'Tamannaah Bhatia', 'Raahul', 'Sonia']"
148,Thelivu,Malayalam,-2019,Not Rated,109 min,"Crime, Drama, Family            ",16,M.A. Nishad,"['Asha Sharath', 'Lal', 'Nedumudi Venu', 'Renji Panicker']"
149,Olessia,Malayalam,-2019,,120 min,"Drama, Musical            ",39,Nazrudinsha,"['Afzal Ali Kerala', 'Bindu Aneesh', 'Divya Das', 'Anson Paul']"
150,Thamaasha,Malayalam,-2019,U,120 min,"Comedy, Drama            ",698,Ashraf Hamza,"['Vinay Forrt', 'Chinnu Chandni Nair', 'Navas Vallikkunnu', 'Divya Prabha']"
151,Finals,Malayalam,(I) (2019),U,122 min,"Drama, Sport            ",89,P.R. Arun,"['Rajisha Vijayan', 'Suraj Venjaramoodu', 'Niranjan', 'Maniyanpilla Raju']"
152,Kayyoppu,Malayalam,-2007,U,95 min,Drama            ,460,Renjith,"['Mammootty', 'Kushboo', 'Mukesh', 'Nedumudi Venu']"
153,Udayananu Tharam,Malayalam,-2005,Not Rated,162 min,Comedy            ,"1,855",Roshan Andrews,"['Mohanlal', 'Sreenivasan', 'Mukesh', 'Meena']"
154,Margam,Malayalam,-2003,,108 min,Drama            ,13,Rajiv Vijayaraghavan,"['Sudip Joshy', 'Meera Krishna', 'Nedumudi Venu']"
155,Mannar Mathai Speaking,Malayalam,-1995,Not Rated,150 min,"Comedy, Thriller            ","1,210",Mani C. Kappan,"['Lal', 'Siddique', 'Mukesh', 'Saikumar']"
156,Meesha Madhavan,Malayalam,-2002,Not Rated,165 min,"Comedy, Drama, Musical            ","1,178",Lal Jose,"['Dileep', 'Kavya Madhavan', 'Jagathi Sreekumar', 'Indrajith Sukumaran']"
157,Theerthadanam,Malayalam,-2001,,,"Drama, Romance            ",30,B. Kannan,"['Jayaram', 'Suhasini', 'Ponnamma Babu', 'Mounika']"
158,Halo,Malayalam,-1996,U,92 min,"Drama, Family            ",425,Santosh Sivan,"['Benaf Dadachandji', 'Rajkumar Santoshi', 'Sahil Choujar', 'Kharabela Mohapatra']"
159,Sanmanassullavarkku Samadhanam,Malayalam,-1986,U,133 min,"Comedy, Drama            ",858,Sathyan Anthikad,"['Mohanlal', 'Karthika', 'Thilakan', 'Sreenivasan']"
160,Pavithram,Malayalam,-1994,Not Rated,156 min,"Comedy, Drama            ",563,Rajeev Kumar,"['Mohanlal', 'Shobana', 'Vinduja Menon', 'K.P.A.C. Lalitha']"
161,Ayyappante Amma Neyyappam Chuttu,Malayalam,-2000,Unrated,,Musical            ,42,Parvin Dabas,['Antara Mali']
162,Agni pushpam,Malayalam,-1976,A,,Drama            ,7,Jeassy,"['P.N. Sundaram', 'Kamal Haasan', 'Jayabharati', 'Adoor Bhawani']"
163,Veendum,Malayalam,-1986,Not Rated,115 min,"Crime, Thriller            ",27,Joshiy,"['Mammootty', 'Jayasree', 'Lalu Alex', 'Ratheesh']"
164,Aankiliyude Tharattu,Malayalam,-1987,,,Drama            ,15,Cochin Hanifa,"['Mammootty', 'Revathy', 'Rahman', 'Shari']"
165,Thalavattam,Malayalam,-1986,Not Rated,147 min,"Comedy, Drama, Romance            ",973,Priyadarshan,"['Mohanlal', 'Nedumudi Venu', 'M.G. Soman', 'Karthika']"
166,Midhunam,Malayalam,-1993,U,147 min,"Comedy, Drama, Musical            ",886,Priyadarshan,"['Mohanlal', 'Sreenivasan', 'Urvashi', 'Jagathi Sreekumar']"
167,Nombarathi Poovu,Malayalam,-1987,,,Drama            ,50,P. Padmarajan,"['Madhavi', 'Sonia', 'Mammootty', 'Shari']"
168,Innale,Malayalam,-1989,Not Rated,137 min,"Drama, Romance            ",363,P. Padmarajan,"['Shobana', 'Jayaram', 'Srividya', 'Suresh Gopi']"
169,New Delhi,Malayalam,-1987,A,143 min,"Action, Crime, Drama            ","1,124",Joshiy,"['Asokan', 'Cochin Hanifa', 'Jeetendra', 'Mammootty']"
170,His Highness Abdullah,Malayalam,-1990,U,156 min,"Drama, Musical, Thriller            ","1,083",Sibi Malayil,"['Mohanlal', 'Nedumudi Venu', 'Gautami', 'Sreenivasan']"
171,Peruvazhiyampalam,Malayalam,-1979,,118 min,Drama            ,62,P. Padmarajan,"['Asokan', 'Azeez', 'Adoor Bhawani', 'Geetha']"
172,Thrishna,Malayalam,-1981,A,,"Drama, Romance            ",26,I.V. Sasi,"['Mammootty', 'Rajyalakshmi', 'Swapna', 'Rajkumar']"
173,Pappayude Swantham Appoos,Malayalam,-1992,Not Rated,146 min,Drama            ,911,Fazil,"['Mammootty', 'Shobana', 'Suresh Gopi', 'Badusha']"
174,Panchavadi Palam,Malayalam,-1984,,140 min,Comedy            ,290,K.G. George,"['Bharat Gopy', 'Nedumudi Venu', 'Srividya', 'Alummoodan']"
175,Kolangal,Malayalam,-1981,Unrated,133 min,"Comedy, Drama            ",22,K.G. George,"['Nedumudi Venu', 'Sreenivasan', 'Gladis', 'Latheef']"
176,Rameshan Oru Peralla,Malayalam,-2019,U,120 min,"Drama, Thriller            ",22,Sujith Vigneshwar,"['Manikandan', 'Divyadarshan', 'Rajesh Sharma', 'Shailaja Ambu']"
177,Thanaha,Malayalam,-2018,U,122 min,Drama            ,13,Prakash Kunjhan Moorayil,"['Sudheesh Anchery', 'Sruthy Bala', 'Balachandran Chullikadu', 'Shivaji Guruvayoor']"
178,The Dolphins,Malayalam,-2014,,,Comedy            ,6,Deepan,"['Suresh Gopi', 'Kalpana', 'Madhu', 'Anoop Menon']"
179,Pathirakalam,Malayalam,-2018,U,133 min,"Crime, Drama            ",21,Priyanandanan,"['Mythili', 'Sreejith Ravi', 'Kalesh Kannattu', 'Indrans']"
180,Marupadi,Malayalam,-2016,UA,132 min,Drama            ,41,V.M. Vinu,"['Rahman', 'Bhama', 'Nayanthara', 'Santhosh Keezhattoor']"
181,Kaadu Pookkunna Neram,Malayalam,-2016,U,105 min,Drama            ,42,Bijukumar Damodaran,"['Krishnan Balakrishnan', 'Prakash Bare', 'Indrans', 'Irshad']"
182,Su Su Sudhi Vathmeekam,Malayalam,-2015,,132 min,Drama            ,"1,389",Ranjith Sankar,"['Jayasurya', 'Shivada Nair', 'Aju Varghese', 'Mukesh']"
183,Birds with Large Wings,Malayalam,-2015,,116 min,Drama            ,49,Bijukumar Damodaran,"['Sajeev Pillai', 'Salim Kumar', 'Kunchacko Boban', 'Nedumudi Venu']"
184,Iyobinte Pusthakam,Malayalam,-2014,,158 min,"Action, Adventure, Drama            ","1,674",Amal Neerad,"['Fahadh Faasil', 'Jayasurya', 'Lal', 'Isha Sharvani']"
185,1983,Malayalam,-2014,,138 min,"Family, Sport            ","2,005",Abrid Shine,"['Nivin Pauly', 'Anoop Menon', 'Joy Mathew', 'Nikki Galrani']"
